team,plyname,pos,ply,kill,error,att
LBSU,Nicole Hoff,L,3,0,0,0
LBSU,Carly Aigner-Swesey,S,10,1,2,8
LBSU,Hailey Harward,L,13,0,0,1
LBSU,Erin McFarland,MB,15,2,3,10
LBSU,YiZhi Xue,MB,16,6,2,13
LBSU,Katie Kennedy,OH,18,12,3,31
LBSU,Dylan Dela Cruz,L,20,0,0,0
LBSU,Jade Waskom,L,21,0,0,0
LBSU,Kashauna Williams,OH,22,14,3,31
LBSU,Amanda Henderson,Opp,24,3,2,9
LBSU,Miranda Canez,MB,4,0,0,0
LBSU,Kjersti Norveel,MB,9,0,1,2
CP,Nicole Cavote,OH,1,4,4,18
CP,Mika Dickson,L,2,0,0,0
CP,Lea Ungar,L,4,0,0,0
CP,Taylor Rose,L,6,0,0,0
CP,Avalon DeNecochea,S,8,1,0,9
CP,Nikki Jackson,OH,10,3,1,14
CP,Madilyn Mercer,MB,14,8,0,16
CP,Maia Dvoracek,Opp,15,19,4,37
CP,Meredith Phillips,MB,16,5,3,14
