team,plyname,pos,ply,kill,error,att
CP,Mika Dickson,L,2,0,0,1
CP,Lea Ungar,L,4,0,0,0
CP,Taylor Rose,L,6,0,0,0
CP,Avalon DeNecochea,S,8,2,2,5
CP,Torrey Van Winden,OH,11,13,6,43
CP,Jessica McRoskey,OH,12,11,1,30
CP,Kenda Ham,Opp,13,0,0,0
CP,Madilyn Mercer,MB,14,8,1,16
CP,Maia Dvoracek,Opp,15,14,11,41
CP,Meredith Phillips,MB,16,9,3,18
UGA,Claire Rothenberger,L,2,0,0,0
UGA,Sage Naves,MB,4,5,6,18
UGA,Rachel Ritchie,OH,7,11,6,39
UGA,Kendall Glover,L,8,0,0,0
UGA,Kayla Rivera,Opp,10,9,4,19
UGA,Brynn Chandler,L,12,0,0,0
UGA,Kianna Young,MB,17,13,3,26
UGA,Meghan Donovan,S,22,4,0,7
UGA,Kacie Evans,OH,23,23,10,53
UGA,Dalaney Hans,S,9,0,0,0
