team,plyname,pos,ply,kill,error,att
STAN,Jenna Gray,S,1,0,0,2
STAN,Kathryn Plummer,OH,2,22,5,37
STAN,Holly Campbell,MB,3,3,0,6
STAN,Meghan McClure,OH,4,7,2,18
STAN,Morgan Hentz,L,9,0,0,0
STAN,Kendall Kipp,OH,10,0,0,0
STAN,Kate Formico,L,11,0,0,0
STAN,Audriana Fitzmorris,Opp,12,8,4,26
STAN,Madeleine Gates,MB,15,10,1,17
STAN,Sidney Wilson,L,21,0,0,0
WIS,Lauren Barnes,L,1,0,0,1
WIS,Sydney Hilley,S,2,0,1,2
WIS,Izzy Ashburn,S,11,0,0,1
WIS,Madison Duello,Opp,14,3,2,13
WIS,Dana Rettke,MB,16,7,4,19
WIS,Tiffany Clark,L,17,0,0,0
WIS,Danielle Hart,MB,18,6,0,17
WIS,M.E. Dodge,L,19,0,0,0
WIS,Grace Loberg,OH,21,5,5,33
WIS,Molly Haggerty,OH,23,10,2,26
