"state_ab","state","lat","long","fifty_stater"
"AL","Alabama, USA",32.688053,-86.810585,"alabama"
"AK","Alaska, USA",64.724809,-153.629618,"alaska"
"AZ","Arizona, USA",34.255149,-111.62621,"arizona"
"AR","Arkansas, USA",34.755883,-92.640559,"arkansas"
"CA","California, USA",36.531544,-119.586168,"california"
"CO","Colorado, USA",38.996664,-105.547822,"colorado"
"CT","Connecticut, USA",41.580163,-72.756629,"connecticut"
"DE","Delaware, USA",38.978849,-75.46014,"delaware"
"DC","District of Columbia, USA",38.912097,-77.014683,"district of columbia"
"FL","Florida, USA",27.97762,-81.769611,"florida"
"GA","Georgia, USA",32.53951,-83.380775,"georgia"
"HI","Hawaii, USA",19.647634,-155.533256,"hawaii"
"ID","Idaho, USA",43.764877,-114.964267,"idaho"
"IL","Illinois, USA",40.265028,-89.191575,"illinois"
"IN","Indiana, USA",39.904493,-86.250281,"indiana"
"IA","Iowa, USA",42.039943,-93.500069,"iowa"
"KS","Kansas, USA",38.500327,-98.380429,"kansas"
"KY","Kentucky, USA",37.696825,-84.924095,"kentucky"
"LA","Louisiana, USA",30.542601,-92.51441,"louisiana"
"ME","Maine, USA",45.243327,-69.171071,"maine"
"MD","Maryland, USA",39.038828,-76.346717,"maryland"
"MA","Massachusetts, USA",42.358752,-71.531484,"massachusetts"
"MI","Michigan, USA",43.924812,-84.633107,"michigan"
"MN","Minnesota, USA",46.63636,-94.579641,"minnesota"
"MS","Mississippi, USA",32.921921,-89.687118,"mississippi"
"MO","Missouri, USA",38.353141,-92.747022,"missouri"
"MT","Montana, USA",47.001265,-109.645406,"montana"
"NE","Nebraska, USA",41.499671,-99.810075,"nebraska"
"NV","Nevada, USA",39.440688,-116.598569,"nevada"
"NH","New Hampshire, USA",43.644386,-71.586283,"new hampshire"
"NJ","New Jersey, USA",39.66502,-74.738208,"new jersey"
"NM","New Mexico, USA",34.498624,-106.108278,"new mexico"
"NY","New York, USA",43.408777,-74.871618,"new york"
"NC","North Carolina, USA",35.387362,-78.455056,"north carolina"
"ND","North Dakota, USA",47.471495,-100.469096,"north dakota"
"OH","Ohio, USA",40.262259,-82.883453,"ohio"
"OK","Oklahoma, USA",35.455622,-97.508021,"oklahoma"
"OR","Oregon, USA",43.854178,-120.526709,"oregon"
"PA","Pennsylvania, USA",40.860198,-77.838617,"pennsylvania"
"RI","Rhode Island, USA",41.587536,-71.514739,"rhode island"
"SC","South Carolina, USA",33.702857,-80.627523,"south carolina"
"SD","South Dakota, USA",44.470716,-100.229958,"south dakota"
"TN","Tennessee, USA",35.820245,-86.343764,"tennessee"
"TX","Texas, USA",31.030974,-98.326329,"texas"
"UT","Utah, USA",39.098999,-111.878816,"utah"
"VT","Vermont, USA",44.211857,-72.681238,"vermont"
"VA","Virginia, USA",37.73086,-78.376655,"virginia"
"WA","Washington, USA",47.372269,-120.59234,"washington"
"WV","West Virginia, USA",38.720281,-80.649428,"west virginia"
"WI","Wisconsin, USA",44.356004,-89.466198,"wisconsin"
"WY","Wyoming, USA",43.001645,-107.55153,"wyoming"
